date;dona_francisca;emborcacao;ita;nova_avanhandava;nova_ponte;santa_cecilia;serra_da_mesa;teles_pires;tres_marias
1985-01-01;76.88;593.36;55.0;247.41;604.19;275.48;444.67;374.85;628.09
1985-02-01;196.28;115.85;205.45;198.95;133.28;217.25;132.83;190.73;158.32
1985-03-01;210.49;185.01;147.85;206.1;198.4;230.76;193.27;250.64;212.49
1985-04-01;249.0;37.46;149.78;82.51;30.6;50.69;110.32;172.8;33.18
1985-05-01;225.37;26.41;110.7;54.2;27.59;60.44;31.87;28.2;30.53
1985-06-01;99.9;0.41;47.89;25.36;0.6;34.73;0.0;3.23;3.46
1985-07-01;185.07;0.0;84.43;13.63;0.0;6.69;2.73;8.05;0.44
1985-08-01;201.5;0.94;146.95;10.87;1.24;21.97;1.94;3.94;5.41
1985-09-01;186.6;36.15;120.11;61.27;35.1;92.26;61.55;116.51;47.9
1985-10-01;65.72;103.31;82.22;42.79;79.98;36.7;218.59;127.58;79.79
1985-11-01;27.0;148.26;58.02;127.85;139.5;128.5;159.59;138.77;172.36
1985-12-01;37.82;273.5;70.5;116.56;252.34;170.89;298.64;233.73;248.98
1986-01-01;121.21;235.09;146.03;195.1;233.12;134.5;189.77;300.8;210.26
1986-02-01;171.36;173.17;135.24;244.46;194.6;243.62;161.15;281.49;184.1
1986-03-01;215.14;103.28;123.56;239.34;112.53;261.91;146.31;320.97;116.3
1986-04-01;281.7;38.09;167.93;74.17;33.9;87.34;70.79;200.72;40.13
1986-05-01;212.97;32.51;143.84;118.03;42.16;79.38;15.92;51.2;51.06
1986-06-01;108.9;1.58;54.28;12.31;1.2;23.37;0.14;1.2;4.41
1986-07-01;93.93;26.33;63.89;63.75;32.24;90.61;11.76;15.26;35.0
1986-08-01;129.89;64.2;92.0;92.05;70.99;72.45;62.36;73.74;62.51
1986-09-01;154.2;28.04;150.98;44.34;34.8;56.95;23.0;99.84;24.79
1986-10-01;140.43;65.43;130.0;65.63;55.49;45.28;131.73;188.03;39.53
1986-11-01;291.0;118.88;190.5;115.92;132.6;118.36;125.61;228.45;135.84
1986-12-01;77.19;313.36;129.98;328.21;331.08;330.89;276.91;251.56;323.4
1987-01-01;155.0;159.5;166.3;258.58;168.95;266.29;191.7;259.58;178.48
1987-02-01;155.96;114.65;154.33;202.74;126.56;156.36;159.49;310.0;118.51
1987-03-01;116.56;176.66;69.74;128.3;165.54;127.68;245.98;254.39;161.39
1987-04-01;248.4;119.32;196.09;139.69;119.7;195.17;143.29;138.97;117.61
1987-05-01;113.46;18.91;246.82;170.31;21.08;162.03;23.87;50.14;41.68
1987-06-01;131.4;7.72;118.16;83.18;8.1;129.59;4.94;21.2;24.88
1987-07-01;276.21;3.44;199.15;23.14;4.03;21.08;1.59;1.24;7.05
1987-08-01;141.67;2.52;148.09;16.39;3.41;17.2;0.5;9.81;5.88
1987-09-01;112.5;71.42;119.24;77.67;81.9;94.62;55.98;30.72;77.26
1987-10-01;160.27;117.5;188.82;102.21;128.03;113.81;154.25;110.5;95.32
1987-11-01;101.1;174.29;101.62;161.09;150.0;82.62;294.39;288.91;146.11
1987-12-01;121.52;303.61;133.75;145.92;279.0;183.03;324.65;305.1;261.96
1988-01-01;194.99;197.1;178.52;232.39;210.49;192.24;188.32;259.81;184.22
1988-02-01;78.3;249.18;67.02;211.22;269.99;260.14;313.43;422.58;262.01
1988-03-01;60.45;169.24;53.65;139.82;154.38;139.25;266.27;241.04;143.72
1988-04-01;193.2;138.04;160.7;136.1;154.8;143.69;153.32;171.76;122.28
1988-05-01;77.19;16.48;162.14;135.86;21.7;146.4;12.88;36.21;34.57
1988-06-01;160.5;8.71;149.09;35.61;9.0;51.14;17.19;12.66;12.08
1988-07-01;44.33;0.0;21.19;7.63;0.0;17.01;0.43;0.88;1.15
1988-08-01;39.37;0.0;21.82;1.84;0.0;3.21;0.0;0.34;0.46
1988-09-01;306.3;15.42;235.76;36.13;19.8;49.29;17.34;16.35;25.5
1988-10-01;169.26;123.29;155.18;169.47;131.75;172.36;139.59;175.88;129.18
1988-11-01;94.8;149.59;79.77;78.55;141.3;103.7;204.4;342.5;129.82
1988-12-01;98.58;246.76;127.8;164.63;228.16;179.67;274.55;342.04;208.37
1989-01-01;174.22;159.8;242.0;268.9;171.12;219.01;205.16;301.65;168.3
1989-02-01;65.52;232.16;140.23;254.58;255.36;202.15;219.18;288.42;218.81
1989-03-01;149.42;163.56;113.89;152.74;171.43;184.13;188.06;371.99;159.7
1989-04-01;132.9;22.53;122.12;79.13;25.2;122.08;68.43;149.29;32.17
1989-05-01;40.3;6.63;121.64;67.72;8.99;63.59;22.29;63.0;12.41
1989-06-01;118.8;19.12;85.94;58.83;15.6;83.04;20.77;31.39;31.84
1989-07-01;95.17;20.7;108.11;78.49;25.42;93.21;19.91;15.06;30.77
1989-08-01;171.43;22.65;126.93;30.27;25.11;22.16;45.29;55.67;18.02
1989-09-01;289.5;69.23;295.46;97.9;75.9;106.08;91.46;76.33;69.47
1989-10-01;147.25;103.11;108.91;63.45;98.58;65.13;143.97;160.11;90.96
1989-11-01;99.0;272.73;97.43;130.93;285.3;96.8;249.09;147.91;231.35
1989-12-01;133.61;453.21;105.62;224.32;419.74;125.2;448.82;460.16;347.13
1990-01-01;155.93;99.98;238.83;232.5;101.06;170.88;160.51;273.33;103.12
1990-02-01;125.44;200.44;135.42;122.26;212.8;109.77;191.84;431.53;180.4
1990-03-01;172.98;124.08;151.51;194.67;142.29;162.12;140.73;215.75;132.24
1990-04-01;313.2;42.25;238.97;94.1;45.3;96.46;73.41;145.8;47.82
1990-05-01;207.08;46.29;197.15;60.04;48.36;58.19;65.12;87.27;53.21
1990-06-01;205.8;0.0;202.62;30.07;0.0;38.99;0.16;3.88;2.98
1990-07-01;99.82;32.58;118.05;84.99;35.34;81.93;26.03;8.9;32.8
1990-08-01;51.46;18.29;103.99;70.22;18.29;48.54;17.76;76.33;35.66
1990-09-01;175.8;39.38;185.9;77.57;42.9;97.11;62.64;105.74;45.56
1990-10-01;218.55;111.25;250.07;87.67;120.9;91.3;129.25;115.28;113.49
1990-11-01;244.5;111.81;177.95;101.76;96.0;83.93;190.12;141.22;120.4
1990-12-01;119.66;121.73;108.28;122.51;115.63;101.75;154.91;200.99;122.28
1991-01-01;99.51;334.98;125.26;281.65;353.09;215.45;264.57;334.53;378.95
1991-02-01;29.68;184.61;55.9;181.32;180.88;200.58;214.4;251.63;179.24
1991-03-01;79.67;343.89;65.49;292.85;379.13;319.36;277.57;309.43;302.99
1991-04-01;225.3;81.74;139.18;99.71;76.5;85.75;144.26;193.81;81.5
1991-05-01;79.05;9.18;51.88;43.08;10.85;65.96;3.8;32.72;27.52
1991-06-01;222.6;0.0;210.27;40.43;0.0;45.82;1.26;8.65;5.14
1991-07-01;124.0;1.9;94.93;22.71;2.79;28.25;0.0;0.48;9.3
1991-08-01;56.42;0.0;93.54;16.9;0.0;21.14;0.0;0.24;3.02
1991-09-01;78.3;29.35;68.03;61.18;30.3;79.06;44.01;62.63;46.78
1991-10-01;123.38;90.36;193.84;119.08;95.48;126.85;94.05;106.96;88.59
1991-11-01;58.8;167.54;86.1;67.06;158.4;81.31;163.72;162.18;153.56
1991-12-01;238.7;211.11;214.32;217.99;196.54;188.11;246.46;175.09;196.2
1992-01-01;119.66;414.65;137.14;165.47;434.93;178.11;342.63;321.15;394.3
1992-02-01;237.22;239.97;128.91;162.66;233.16;87.1;292.53;350.89;194.79
1992-03-01;148.18;140.86;187.12;204.08;166.16;165.9;158.35;283.47;131.23
1992-04-01;102.0;76.87;61.46;86.95;76.2;76.61;144.92;148.88;77.03
1992-05-01;310.31;18.93;296.17;88.53;21.39;72.2;12.88;12.0;37.26
1992-06-01;141.0;0.5;114.97;6.72;0.6;7.77;0.14;0.9;2.63
1992-07-01;116.87;0.85;151.29;42.14;1.24;74.6;0.0;1.25;13.31
1992-08-01;110.05;8.39;138.68;38.34;4.65;35.21;7.23;44.4;10.74
1992-09-01;175.5;76.77;154.03;122.93;94.2;130.73;93.4;102.63;101.79
1992-10-01;189.1;163.72;107.25;198.92;187.24;155.46;193.6;219.23;171.54
1992-11-01;107.1;253.76;122.05;149.35;228.9;223.38;247.93;207.99;226.79
1992-12-01;79.67;281.54;73.64;141.53;284.89;145.97;285.8;279.18;247.07
1993-01-01;237.77;121.36;197.22;208.59;126.48;190.01;128.75;132.12;159.12
1993-02-01;85.12;232.83;123.78;294.65;224.56;239.91;279.3;369.1;202.53
1993-03-01;176.08;55.73;111.71;145.47;70.99;161.08;90.53;156.82;79.87
1993-04-01;88.2;76.91;103.39;112.92;79.2;83.28;53.74;73.4;77.27
