-53.092609197,-29.435124173
-53.186129044,-29.435124173
-53.295235531,-29.403950890
-53.409537565,-29.351995420
-53.456297488,-29.336408779
-53.510850732,-29.263671121
-53.526437373,-29.232497839
-53.596577257,-29.255877801
-53.643337180,-29.255877801
-53.695292650,-29.227302292
-53.708281518,-29.164955728
-53.757639215,-29.141575767
-53.801801364,-29.128586899
-53.838170193,-29.094815843
-53.853756834,-29.074033655
-53.853756834,-29.024675959
-53.809594685,-28.985709356
-53.781019176,-28.928558339
-53.734259253,-28.855820681
-53.721270386,-28.788278570
-53.677108236,-28.738920873
-53.614761672,-28.686965403
-53.588783937,-28.640205480
-53.518644052,-28.596043331
-53.482275223,-28.525903446
-53.458895262,-28.492132390
-53.401744244,-28.458361335
-53.336799907,-28.437579147
-53.305626625,-28.419394732
-53.266660022,-28.375232583
-53.284844437,-28.325874886
-53.274453343,-28.258332775
-53.240792386,-28.175130624
-53.188836916,-28.125699528
-53.113538184,-28.120577380
-53.056240368,-28.162215155
-53.004284898,-28.242746134
-52.949731655,-28.289506057
-52.900373958,-28.266126095
-52.812049659,-28.263528322
-52.754898642,-28.276517190
-52.630205514,-28.276517190
-52.593836685,-28.281712737
-52.536685667,-28.258332775
-52.508110159,-28.224561719
-52.456154689,-28.214170625
-52.396405898,-28.237550587
-52.327422284,-28.252332790
-52.323668240,-28.253137228
-52.314701655,-28.254167140
-52.278115455,-28.258369475
-52.259240921,-28.301318450
-52.258723902,-28.302494925
-52.261551231,-28.312390574
-52.274310544,-28.357048168
-52.287299411,-28.401210318
-52.289897185,-28.458361335
-52.282103864,-28.505121258
-52.321070467,-28.559674502
-52.354841522,-28.603836651
-52.365232616,-28.686965403
-52.365232616,-28.731127553
-52.365232616,-28.777887476
-52.437970274,-28.803865211
-52.510707932,-28.814256305
-52.558766742,-28.820750739
-52.631504400,-28.837636266
-52.679563210,-28.897385057
-52.699046512,-28.980513809
-52.712035379,-29.053251467
-52.731518680,-29.113000258
-52.760094189,-29.177944596
-52.771784170,-29.251981140
-52.808152999,-29.328615459
-52.827636300,-29.388364249
-52.884787317,-29.426031965
-52.951030541,-29.464998568
-53.092609197,-29.435124173
