-46.383456116,-20.524333671
-46.373413788,-20.520129905
-46.323199176,-20.515301577
-46.284572551,-20.502747924
-46.239186267,-20.496953931
-46.210216298,-20.500816593
-46.190902986,-20.533649224
-46.167727011,-20.553928202
-46.131031718,-20.580966839
-46.114615402,-20.581932505
-46.085645434,-20.550065540
-46.059572462,-20.542340215
-46.032533824,-20.566481855
-46.011289181,-20.594486158
-45.975559553,-20.593520492
-45.943692588,-20.569378852
-45.920516613,-20.541374549
-45.901203300,-20.521095571
-45.893477975,-20.491159937
-45.883821319,-20.465086965
-45.867405004,-20.449636315
-45.827812713,-20.444807987
-45.779529432,-20.451567646
-45.757319123,-20.466052631
-45.731246151,-20.484400277
-45.711932839,-20.498885262
-45.656889899,-20.499850927
-45.617297608,-20.489228606
-45.581567980,-20.470880959
-45.561289002,-20.448670650
-45.558392005,-20.415838019
-45.558392005,-20.389765047
-45.525559374,-20.374314397
-45.473413431,-20.374314397
-45.434786806,-20.377211394
-45.409679500,-20.341481766
-45.360430554,-20.317340125
-45.320838263,-20.340516100
-45.307318944,-20.379142725
-45.321803929,-20.422597678
-45.316009935,-20.448670650
-45.281245973,-20.461224303
-45.221374704,-20.454464643
-45.192404736,-20.437082662
-45.178885417,-20.421632012
-45.158606439,-20.441910990
-45.180816748,-20.476674953
-45.194336067,-20.513370246
-45.183713745,-20.547168543
-45.111288824,-20.573241514
-45.073627865,-20.600280152
-45.046589227,-20.624421792
-45.017619259,-20.633112783
-44.990580621,-20.617662133
-44.964507650,-20.593520492
-44.944228672,-20.591589161
-44.904636381,-20.638906777
-44.862147094,-20.689121389
-44.846696444,-20.707469036
-44.812898147,-20.713263029
-44.772340191,-20.677533401
-44.753026879,-20.648563433
-44.733713567,-20.630215786
-44.697018273,-20.662082751
-44.673842298,-20.703606373
-44.644872330,-20.739336001
-44.625559017,-20.759614979
-44.577275736,-20.773134298
-44.528992455,-20.768305970
-44.491331496,-20.765408973
-44.422769237,-20.742232998
-44.387039609,-20.760580645
-44.356138310,-20.782790954
-44.323305679,-20.776031294
